"CORE","UNIT","T","B","FINDS","NOTES"
"1020/3","-5",75,100,"Charcoal",NA
"1020/3","-6",100,125,"Charcoal",NA
"1020/4","-1",25,25,"Palmnut",NA
"1020/4","-2",0,25,"Palmnut",NA
"1020/4","-3",25,50,"Charcoal",NA
"1020/4","-4",50,75,"Charcoal",NA
"1020/4","-5",75,100,"Charcoal",NA
"1020/4","-8",150,175,"Pottery",NA
"1020/4","-9",175,200,"Pottery",NA
"1020/4","-12",250,275,"Pottery",NA
"1020/5","-3",25,50,"Palmnut",NA
"1020/5","-3",25,50,"Pottery",NA
"1020/5","-4",50,75,"Pottery",NA
"1020/5","-5",75,100,"Charcoal",NA
"1020/5","-8",150,175,"Charcoal",NA
"1020/6","-2",0,25,"Glas",NA
"1020/6","-2",0,25,"Roots",NA
"1020/6","-3",25,50,"Lithics",NA
"1020/6","-4",50,75,"Charcoal",NA
"1020/6","-5",75,100,"Charcoal",NA
"1020/7","-3",25,50,"Charcoal",NA
"1020/7","-4",50,75,"Charcoal",NA
"1020/7","-4",50,75,"Roots",NA
"1020/7","-5",75,100,"Charcoal",NA
"1020/7","-6",100,125,"Charcoal",NA
"1020/7","-7",125,150,"Roots",NA
"1030/6","-1",60,60,"Fired Clay",NA
"1030/8","-1",70,75,"Roots",NA
"1030/8","-1",90,90,"Charcoal",NA
"1030/8","-2",0,25,"Pottery",NA
"1030/8","-2",0,25,"Lithics",NA
"1030/8","-2",NA,NA,"Roots",NA
"1030/8","-3",25,50,"Pottery",NA
"1030/8","-3",NA,NA,"Lithics",NA
"1030/8","-4",50,75,"Pottery","Farbic wie ICB"
"1030/8","-4",NA,NA,"Lithics",NA
"1030/8","-5",75,100,"Lithics",NA
"1030/8","-5",NA,NA,"Charcoal",NA
"1030/8","-6",100,125,"Lithics",NA
"1030/8","-6",NA,NA,"Pottery","Fabric cf 8-4"
"1030/8","-7",125,150,"Lithics","only one piece"
"1030/8","-8",150,175,"Lithics","one very tiny piece"
"1030/8","-9",175,200,"Lithics",NA
"1030/8","-12",250,275,"Charcoal",NA
"1030/9","-1",0,25,"Lithics",NA
"1030/9","-2",25,50,"Pottery",NA
"1030/9","-2",25,50,"Lithics",NA
"1030/9","-3",50,75,"Pottery",NA
"1030/9","-3",50,75,"Lithics",NA
"1030/9","-4",75,100,"Pottery",NA
"1030/9","-6",125,150,"Lithics",NA
"1030/9","-7",150,175,"Charcoal",NA
"1030/9","-9",200,225,"Lithics",NA
